SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
801071090,5,4,0,0,13,14,22,11,0,0,69,0,0,4,0,0,0,3,20,28,14,0,0,75,0,0,0,0,0,0,0,5,17,11,5,3,52,0,0,0,0,0,0,0,10,19,18,3,3,55,0,0,0,0,0,0,0,4,9,17,14,0,49,0,0,0,0,6,0,3,0,3,0,0,5,27,0,0,0,0,4,0,0,0,0,0,0,6,9,13,9,93,37,31,23,46,86,133,86,25,33,612
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801081091,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,10,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,4,6,8,9,12,18,27,0,112
801081092,0,0,0,0,0,5,3,8,0,5,33,0,0,0,0,0,3,5,9,8,6,0,0,29,0,0,0,0,0,0,0,4,3,9,0,0,12,0,0,0,0,0,0,0,0,11,4,3,0,25,0,0,0,0,0,0,0,4,0,8,14,0,35,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,29,13,10,10,8,26,35,42,32,10,229
801081093,0,0,0,4,9,8,8,0,3,0,30,0,0,0,0,0,0,9,0,6,7,0,0,29,0,0,0,0,0,0,0,0,9,5,0,0,14,0,0,0,0,0,0,0,5,4,9,0,0,24,0,0,0,0,0,0,0,0,10,8,7,0,27,0,0,0,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,24,14,0,16,32,26,53,36,15,7,236
801081094,0,0,0,0,3,10,8,3,0,4,31,0,0,0,0,0,0,0,8,6,6,0,0,24,0,0,0,0,0,0,0,5,3,3,0,0,15,0,0,0,0,0,0,0,0,14,0,5,0,23,0,0,0,0,0,0,0,0,9,8,5,0,24,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,15,3,0,8,22,27,57,38,21,8,205
801081095,6,0,0,0,0,0,12,4,0,0,21,0,0,0,0,0,0,0,7,15,4,3,0,33,0,0,0,0,0,0,0,0,10,9,3,0,21,0,0,0,0,0,0,0,5,7,9,10,0,27,0,0,0,0,0,0,0,0,6,8,0,0,25,0,0,0,0,0,0,0,0,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,3,4,6,55,34,16,21,17,33,64,36,17,16,316
801081096,0,0,0,4,0,0,4,9,0,0,22,0,0,0,0,0,9,0,0,5,4,0,0,27,0,0,0,0,0,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,4,6,3,0,17,0,0,0,0,0,3,0,0,3,4,8,0,21,0,0,0,0,0,4,0,0,8,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,6,22,10,15,38,36,21,11,177
801081097,0,4,0,0,6,8,9,0,0,0,26,0,0,0,0,0,4,3,11,7,8,0,0,31,0,0,0,0,0,0,0,3,8,3,5,0,21,0,0,0,0,0,0,0,4,8,11,3,0,35,0,0,0,0,0,0,0,3,5,9,3,0,22,0,0,0,0,0,0,3,0,3,0,0,3,12,0,0,8,0,0,0,0,0,0,0,0,3,9,0,15,62,20,9,6,25,45,58,40,18,12,310
801081098,0,0,0,0,4,15,13,6,3,0,36,0,0,0,0,0,0,6,18,12,9,0,0,46,0,0,0,0,0,0,0,4,8,7,0,0,23,0,0,0,0,0,0,0,7,13,9,3,0,38,0,0,0,0,0,0,0,4,5,6,17,0,43,0,0,0,0,0,0,0,0,6,3,0,0,13,0,0,0,0,0,0,5,0,0,0,0,7,16,3,3,24,9,11,15,39,82,65,43,33,17,349
