SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
801051127,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,15,20,0,5,0,0,32,6,0,3,0,0,17,4,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,19,4,6,88
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,4,0,0,12,13,0,7,0,0,24,12,4,5,3,0,21,6,0,14,0,0,19,4,0,10,0,0,10,0,0,0,0,0,9,3,0,14,0,0,22,0,0,5,0,0,5,53,9,56,4,3,114
801061063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,9,12,0,0,0,0,18,21,0,4,0,0,27,11,0,0,0,0,14,12,0,0,0,0,12,0,0,0,0,0,0,14,4,6,0,0,18,3,0,0,0,0,4,86,5,24,8,0,119
801061064,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,10,0,0,0,0,11,17,0,3,0,0,18,55,0,13,0,0,75,86,4,14,0,0,106,52,4,12,0,0,67,14,3,10,0,0,27,8,3,5,4,0,15,0,0,7,0,0,5,0,4,9,0,0,17,0,0,0,0,0,5,249,18,76,14,5,360
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,6,0,0,5,0,0,6,4,0,0,0,6,9,10,3,5,0,0,15,45,0,15,0,4,65,40,4,28,5,3,84,34,12,26,8,0,68,14,0,15,3,0,35,9,7,11,5,0,25,0,0,3,0,0,9,4,4,8,5,0,17,3,0,0,0,0,6,167,31,119,24,16,345
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,9,13,0,10,0,0,19,4,0,8,0,0,12,0,0,8,0,0,6,5,0,7,5,0,17,0,0,10,0,0,16,5,0,9,0,0,11,3,5,10,0,0,22,4,0,0,0,0,0,34,4,67,8,0,118
801061070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,11,0,3,6,0,15,3,0,5,0,0,11,13,0,5,0,0,19,9,0,6,0,0,15,3,0,16,0,0,22,4,0,5,0,0,6,7,4,16,3,0,25,0,0,0,0,0,0,50,5,61,5,0,124
801061129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,15,51,0,0,0,0,57,26,0,15,0,0,44,26,0,6,0,0,40,3,0,0,0,4,12,6,0,0,0,0,6,8,0,0,0,0,8,0,0,0,0,0,0,138,6,30,0,3,180
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
801061131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,0,3,0,0,3,6,0,3,0,0,15,60,0,13,0,0,72,171,8,22,0,0,205,105,0,26,0,3,140,57,0,13,4,0,71,13,3,3,0,0,24,11,0,4,3,0,22,13,7,10,3,5,36,5,0,3,0,0,3,461,11,105,15,8,606
801071071,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,3,5,0,3,0,0,12,0,0,9,0,0,5,14,4,10,4,0,32,18,4,24,3,6,59,5,0,12,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,41,5,73,9,17,148
801071072,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,8,0,0,0,0,0,3,0,0,0,3,0,4,5,0,3,0,0,13,14,0,16,3,0,34,16,5,36,0,3,64,4,11,15,4,4,36,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,18,89,11,13,186
801071073,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,8,13,3,11,0,0,38,30,0,23,0,4,55,6,0,8,5,0,18,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,61,13,59,3,14,146
