SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801031113,20,0,4,7,5,0,3,26,18,43,4,0,4,0,0,0,4,0,8,3,7,9,0,0,0,12,12,22,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,6,8,10,147,118,262,46,29,72,132,71,207,15,34,47,270,132,398,607,378,988
801031114,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,31,7,0,7,8,7,24,4,0,3,17,27,41,56,52,103
801031115,0,0,0,0,0,0,0,4,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,35,41,80,5,0,9,7,5,10,3,4,9,116,48,164,175,102,270
801041034,10,0,19,23,0,0,0,36,53,86,17,17,36,0,0,0,0,0,3,0,14,10,0,0,0,21,32,53,14,4,16,0,0,0,0,3,3,0,12,10,0,0,0,15,18,34,1278,1299,2587,47,70,114,123,213,339,19,85,99,858,748,1606,2323,2422,4749
801041035,9,8,11,21,0,0,0,28,44,72,10,0,12,0,0,3,0,0,0,0,5,5,0,0,0,13,8,21,6,4,12,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,1467,1462,2930,49,78,126,121,178,302,17,84,103,917,827,1744,2571,2635,5200
801041036,12,6,10,17,0,0,0,21,15,36,9,0,14,0,0,0,0,0,0,0,9,9,0,0,0,9,10,20,0,0,5,0,0,0,0,0,0,0,3,4,0,0,0,5,9,13,1307,1313,2618,49,68,114,115,206,327,26,76,105,836,804,1642,2333,2463,4797
801041037,11,3,28,31,0,0,0,32,53,83,16,17,31,0,0,0,6,0,5,4,21,18,0,0,0,23,39,60,10,3,10,0,0,0,0,0,6,9,16,23,0,0,0,18,27,38,1048,1040,2089,36,32,66,66,140,206,17,93,108,577,561,1139,1746,1862,3607
801041038,5,6,14,13,0,0,0,27,22,50,0,3,7,0,0,0,0,0,0,0,6,6,0,0,0,0,10,10,0,0,6,0,0,0,0,0,0,3,3,6,0,0,0,9,4,11,1000,1010,2003,35,37,73,83,111,194,7,50,54,465,459,925,1582,1669,3252
801041039,6,0,15,17,3,0,5,22,20,43,8,4,5,0,0,0,4,0,4,0,7,7,0,0,0,6,11,20,4,0,3,0,0,0,0,0,0,5,3,11,0,0,0,3,5,14,1546,1514,3059,50,62,116,135,172,315,14,69,87,1252,1136,2392,3003,2964,5971
801041040,11,4,16,16,0,0,0,39,44,88,21,12,26,0,0,0,0,3,4,5,19,20,0,0,0,23,34,59,15,8,19,0,0,0,0,0,3,0,10,16,0,0,0,13,19,33,1753,1677,3430,121,111,232,161,273,437,20,105,130,1571,1420,2986,3626,3589,7213
801041043,0,0,5,5,0,0,0,6,8,15,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,71,79,148,3,5,3,3,10,13,3,11,16,43,28,73,124,129,251
801041044,6,0,10,12,0,0,0,29,24,55,12,7,19,0,0,0,0,0,3,0,11,14,0,0,0,12,19,34,7,0,4,0,0,0,0,0,0,5,5,3,0,0,0,9,6,19,1647,1627,3281,73,99,167,155,205,359,11,63,76,1325,1147,2473,3211,3140,6354
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6
801041046,30,11,48,58,7,5,11,111,142,250,61,31,95,0,0,0,4,14,17,12,35,47,0,5,7,71,91,157,31,15,48,0,3,5,3,12,8,13,20,34,0,0,0,44,45,92,2056,2040,4095,107,161,266,256,535,797,53,220,273,1666,1490,3160,4140,4437,8585
801041047,17,7,16,25,0,0,0,116,104,218,53,37,88,0,0,0,0,3,5,8,21,28,0,0,0,64,59,123,17,7,23,0,0,0,0,0,3,3,28,31,0,0,0,22,35,61,1670,1667,3338,46,68,116,139,189,325,43,134,180,847,731,1576,2745,2788,5535
801041048,13,8,22,24,0,3,0,51,62,112,15,11,26,0,0,4,0,3,3,5,13,19,0,0,5,21,32,54,13,7,17,0,0,0,0,0,0,5,22,26,0,6,6,21,33,52,1096,1085,2183,52,65,123,135,241,379,36,131,171,848,746,1593,2175,2273,4447
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
