SA2_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
801041048,402,44,22,460,247,80,19,3,345,7,5,13,364,40,16,416,228,55,6,5,295,0,4,4,304,50,8,362,242,76,10,0,331,8,0,5,336,43,10,392,179,59,13,3,256,4,0,4,260,84,8,350,112,50,8,0,165,8,0,5,175,115,10,302,43,23,7,0,77,0,4,4,82,168,5,259,0,13,0,0,19,0,0,0,20,183,6,208,6,11,0,0,14,0,0,0,14,196,8,220,1974,858,136,33,3000,66,56,120,3121,1176,146,4447
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,84,9,3,96,47,14,0,0,63,0,0,0,61,3,4,69,33,11,0,0,44,0,0,0,43,6,3,53,13,3,0,0,16,0,0,0,16,0,0,22,3,0,0,0,3,0,0,0,3,3,0,10,3,0,0,0,10,0,0,0,10,3,0,10,6,0,0,0,3,0,0,0,3,8,0,13,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,4,0,4,263,97,22,5,381,3,5,9,393,83,17,492
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,8,0,7,16
801041120,608,60,30,701,363,85,3,8,458,6,0,7,464,47,13,526,194,51,8,0,255,5,0,5,259,24,6,294,110,27,7,7,143,4,0,6,143,25,6,178,50,20,5,0,69,4,0,0,69,37,0,112,31,15,0,0,42,0,0,6,43,33,3,78,3,13,0,0,19,0,0,0,19,46,3,68,0,0,0,0,9,0,0,0,9,33,0,38,0,0,0,0,0,0,0,0,0,29,3,32,1994,706,87,40,2826,58,60,120,2945,614,156,3713
801041121,271,23,14,309,115,31,4,0,153,0,0,0,154,23,7,183,64,11,0,0,79,0,0,0,76,15,5,99,36,5,0,0,42,4,0,4,48,13,0,58,21,7,0,0,28,0,0,0,33,23,4,50,7,4,0,0,13,0,0,0,9,31,0,46,3,0,0,0,3,0,0,0,3,37,0,41,0,0,0,0,0,0,0,0,4,25,0,24,0,0,0,0,0,0,0,0,0,22,0,18,776,291,62,30,1156,27,14,40,1195,312,79,1582
801041122,295,25,16,338,170,45,8,0,225,0,0,0,226,16,8,249,109,20,0,0,131,0,0,0,131,11,0,147,55,15,0,0,72,0,0,5,76,11,0,89,22,5,3,0,42,5,0,4,42,13,3,59,6,3,0,0,12,0,0,0,12,19,5,27,4,0,0,0,7,0,0,0,7,24,0,37,0,0,0,0,3,0,0,0,3,12,0,16,0,0,0,0,0,0,0,0,0,18,0,18,927,317,56,25,1321,26,28,56,1373,265,54,1687
801051049,18,12,3,34,0,5,0,0,6,0,0,0,6,9,3,16,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,7,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1150,143,7,1361,28,262,285,1648,708,487,2844
801051050,310,32,7,349,201,75,11,0,286,5,4,6,289,40,12,345,223,69,8,7,309,0,3,3,312,38,11,352,234,62,9,6,311,4,3,11,321,53,6,381,160,62,11,0,233,3,12,18,246,95,19,359,78,65,10,0,149,6,6,12,159,154,9,326,37,35,0,0,80,0,0,0,77,189,9,278,5,21,0,3,34,0,0,0,32,192,10,236,0,4,0,0,9,0,0,0,9,525,30,563,1616,904,134,19,2674,41,67,112,2783,1539,166,4481
