SA2_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
801071076,43,44,43,2167,2299,2383,1055,1197,1415,500,515,620,2830,3009,3557,0.7,0.7,0.7,2718,2757,3302,2.9,2.8,2.9
801071077,32,35,37,2039,2037,2048,861,957,1164,370,380,430,2095,2371,2725,0.8,0.8,0.8,1897,2161,2416,2.9,2.8,2.8
801071078,33,36,38,2058,1950,1950,925,957,1157,370,370,420,2208,2323,2742,0.8,0.8,0.8,1983,1990,2321,2.8,2.7,2.7
801071079,38,38,38,1950,2167,2167,912,1003,1207,378,400,440,2294,2455,2908,0.8,0.8,0.7,2141,2228,2674,2.8,2.7,2.8
801071080,36,36,36,1907,1652,1625,992,1030,1197,430,411,450,2003,2142,2341,0.8,0.9,0.9,1716,1686,1857,2,2,1.9
801071081,32,35,36,1950,2000,1880,861,916,1084,385,385,450,2029,2125,2502,0.8,0.8,0.8,1858,1841,2131,2.8,2.7,2.6
801071082,37,40,41,1993,1950,2000,880,917,1070,340,350,400,2163,2258,2630,0.8,0.8,0.7,1864,1916,2207,2.6,2.6,2.6
801071083,38,39,39,2167,2167,2200,1035,1133,1334,438,450,520,2781,2856,3232,0.8,0.8,0.7,2682,2680,3037,3.1,2.9,2.9
801071084,39,43,43,1950,1964,2058,890,931,1095,395,410,450,2220,2339,2682,0.7,0.7,0.7,1892,1978,2164,2.6,2.5,2.5
801071085,27,55,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,34,39,39,2000,1950,2150,840,936,1132,350,340,400,2129,2380,2754,0.8,0.8,0.8,1905,2106,2393,2.9,2.7,2.7
