SA2_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
801011011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,0,8,0,0,0,0,13,0,0,0,0,0,4,3,11,5,0,0,0,24,0,0,0,0,0,0,0,7,4,0,0,0,22,0,0,0,0,0,0,0,17,8,0,0,0,33,0,0,0,0,0,0,0,18,12,0,0,0,33,0,0,0,0,0,0,0,12,15,4,0,0,28,0,0,0,0,0,0,0,6,3,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,0,3,0,0,0,0,0,0,0,5,17,0,0,4,0,0,0,3,0,0,0,0,0,14,0,3,3,4,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,8,0,0,0,0,6,17,0,0,0,0,0,0,6,5,0,0,0,0,14,0,0,0,0,0,0,15,8,3,0,0,0,26,0,0,0,0,0,5,12,5,0,0,0,0,27,0,0,0,0,0,0,10,14,3,0,0,0,30,0,0,0,0,0,0,5,8,3,0,3,0,26,0,0,0,0,0,3,12,4,9,3,0,0,25,0,0,0,0,0,0,0,0,9,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
801011014,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,12,0,5,3,3,0,0,0,0,0,0,0,0,22,3,5,0,0,0,0,4,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,16,0,5,5,3,0,0,6,0,0,0,0,0,27,0,0,3,0,0,0,0,11,0,0,0,0,20,0,0,0,3,0,4,8,15,0,0,0,0,32,0,0,0,0,0,0,5,15,3,0,0,0,25,0,0,0,0,0,0,3,21,3,3,0,0,36,0,0,0,0,0,0,0,15,3,0,0,0,19,0,0,0,0,0,0,0,9,4,0,0,0,17,0,0,0,0,0,0,0,6,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0
801011015,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,0,0,0,0,4,0,0,0,0,26,0,16,6,8,0,0,0,3,0,0,0,0,38,0,4,11,8,0,0,3,4,0,0,0,0,38,0,0,9,5,0,0,0,0,0,0,0,0,20,0,0,5,6,0,5,6,8,0,0,0,0,35,0,4,3,0,4,4,16,22,0,0,0,0,50,0,0,0,0,0,6,13,30,4,0,0,0,62,0,0,0,0,0,6,13,38,3,0,0,0,61,0,0,0,0,3,3,8,45,5,0,0,0,67,0,0,0,0,0,0,4,36,3,0,0,0,51,0,0,0,0,0,0,3,14,3,0,0,0,31,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,4,0,4,0,0,0,0,9,0,0,0,4,0
801011016,0,0,0,0,0,0,0,3,5,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,4,0,12,3,0,0,0,3,0,0,0,0,0,20,9,19,0,4,0,0,0,0,3,0,0,0,40,0,3,4,0,0,0,0,3,3,0,0,0,17,0,3,3,4,0,0,0,4,0,0,0,0,15,0,4,4,3,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,15,4,0,0,0,24,0,0,4,3,0,0,6,20,5,3,0,3,49,0,0,0,0,0,0,0,15,14,3,0,0,38,0,0,0,0,0,0,10,43,20,3,0,4,87,0,0,0,0,0,0,3,39,19,4,4,0,68,0,0,0,0,0,0,4,17,15,6,3,0,52,0,0,0,0,0,0,3,17,12,4,0,4,40,0,0,0,0,0,0,0,5,8,6,4,0,24,0,0,5,0,0
801011017,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,5,6,0,0,0,0,0,0,0,0,0,0,18,0,4,4,0,0,0,0,4,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,6,0,0,0,0,7,0,0,0,3,0,0,4,7,0,0,0,0,18,0,0,0,0,0,0,4,16,0,0,0,0,25,0,0,0,0,0,0,4,13,0,0,0,0,25,0,0,0,0,0,3,0,23,6,0,0,0,33,0,0,0,0,0,0,4,17,3,0,0,0,32,0,0,0,0,0,4,0,8,7,0,0,0,19,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,8,0,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,3,4,4,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,3,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,5,4,0,0,0,14,0,0,3,0,0,3,10,10,0,0,0,0,27,0,0,0,0,0,9,0,18,8,0,0,0,37,0,0,0,0,0,0,0,25,4,0,0,0,34,0,0,0,0,5,0,0,30,12,4,0,0,55,0,0,0,0,0,0,4,40,9,0,0,0,54,0,0,0,0,0,0,0,10,7,0,0,0,29,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0
801011020,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,4,5,11,5,0,0,0,0,0,0,0,0,0,16,4,15,9,0,0,0,0,0,0,0,0,0,35,0,5,5,7,0,0,0,3,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,11,5,4,0,9,7,3,5,0,0,0,0,0,31,0,0,0,6,0,0,5,7,8,0,0,4,29,0,0,0,0,3,3,9,6,0,0,0,0,33,0,0,0,0,3,0,8,13,3,0,0,0,40,0,0,0,0,0,5,13,24,9,0,0,0,48,0,0,0,0,0,0,0,15,14,0,0,0,30,0,0,0,0,0,0,0,15,12,3,0,0,34,0,0,0,0,0,0,0,9,5,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
801011021,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,3,4,4,0,0,0,0,0,0,0,0,0,18,3,6,3,0,0,0,0,4,0,0,0,0,14,3,4,3,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,4,0,0,0,0,13,0,0,0,3,0,0,0,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,15,0,4,0,0,27,0,0,0,0,0,0,0,7,4,0,0,0,16,0,0,0,0,0,0,0,7,3,0,0,0,19,0,0,0,0,0,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0
