SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
801061063,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,5,9,0,0,0,9,4,0,0,0,4,8,3,0,0,11,7,6,0,0,7,0,3,0,0,4,0,0,0,0,0,30,12,0,0,41
801061064,3,0,0,0,6,6,0,0,0,9,12,7,0,0,17,13,3,0,0,22,24,7,4,0,30,8,0,0,0,10,13,5,0,0,19,13,11,4,0,25,0,4,4,0,8,0,0,0,0,0,99,46,6,3,152
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,7,6,0,0,9,11,4,0,0,15,22,13,7,0,36,20,10,0,0,28,30,22,3,0,54,11,3,0,0,20,16,9,0,0,26,10,13,0,0,23,9,4,4,0,17,4,0,0,0,7,158,87,25,4,269
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,7,3,0,0,10,8,3,0,0,9,0,0,0,0,0,4,5,0,0,7,4,13,0,0,21,3,0,0,0,10,0,0,0,0,0,48,30,5,5,84
801061070,3,0,0,0,0,3,0,0,0,3,0,5,0,0,4,9,0,0,0,6,4,3,0,0,8,4,4,0,0,9,6,6,0,0,6,15,11,0,0,25,4,0,0,0,7,0,0,0,0,0,46,29,7,0,77
801061129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,11,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,17,10,0,0,29
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061131,0,0,0,0,6,3,0,3,0,7,15,0,0,3,18,22,8,0,0,30,28,0,0,0,31,5,0,0,0,10,20,11,0,0,24,15,18,0,0,38,4,9,0,0,14,0,0,0,0,0,132,54,7,0,201
801071071,8,9,0,0,12,5,3,0,0,9,33,16,3,0,54,28,22,6,3,59,18,7,3,0,32,10,3,0,0,11,6,10,0,0,15,6,5,0,0,12,6,7,7,0,23,0,0,0,0,0,123,84,30,8,251
801071072,8,3,0,0,12,9,0,0,0,16,17,9,0,3,31,23,9,5,0,34,23,9,0,0,30,10,3,0,0,17,6,7,0,0,14,3,6,7,0,15,8,6,10,0,24,0,0,0,0,0,114,69,23,8,217
801071073,4,5,0,0,10,14,5,9,0,23,19,14,0,3,38,33,20,0,0,52,22,12,5,0,36,6,11,0,0,21,10,9,0,0,17,5,9,4,0,16,6,8,0,0,18,0,0,0,0,0,132,87,22,6,253
801071074,7,5,0,0,14,7,3,0,3,13,24,12,0,0,39,17,13,3,0,35,30,11,0,0,39,12,3,0,0,14,6,10,3,0,21,4,3,0,0,11,9,10,0,0,18,3,0,0,0,3,134,70,23,8,230
801071075,10,4,3,0,19,12,3,0,0,16,18,12,0,4,29,26,13,0,0,47,28,10,3,0,39,10,8,6,0,19,13,11,0,0,26,4,0,3,0,9,7,3,0,0,15,0,0,0,0,0,126,78,27,15,248
801071076,0,0,0,0,0,3,0,0,0,5,8,3,0,0,9,9,0,0,0,9,7,7,0,0,17,9,4,0,0,9,3,0,4,0,5,14,4,5,0,15,0,0,0,0,6,0,0,0,0,0,53,26,6,0,84
801071077,5,0,0,0,7,5,0,6,0,10,7,3,3,0,15,20,8,4,0,31,8,10,3,0,15,9,0,3,0,12,0,4,0,0,5,8,0,0,0,5,0,6,0,0,4,0,0,0,0,3,66,41,17,10,129
801071078,15,6,4,3,28,13,3,0,0,21,39,27,9,6,76,42,24,7,0,75,45,23,4,0,68,13,9,0,0,22,27,12,4,0,36,9,5,3,0,20,12,7,3,0,23,0,0,0,0,0,217,135,39,8,398
801071079,0,3,0,0,4,7,4,4,0,7,9,4,0,0,10,10,10,5,0,24,10,8,0,0,16,12,0,4,0,13,12,8,0,0,15,4,0,0,4,8,3,9,0,0,15,4,0,0,0,0,75,44,11,5,138
801071080,5,0,0,0,6,10,4,0,0,13,19,12,0,0,35,39,7,3,0,47,25,12,0,0,33,13,6,0,0,17,12,3,0,0,13,9,4,0,0,7,8,8,5,0,19,0,0,0,0,0,146,58,9,0,214
801071081,3,7,0,0,11,3,6,4,5,9,21,9,5,3,35,26,19,0,0,48,13,22,4,0,39,6,6,0,0,10,10,3,0,0,15,7,0,0,0,6,4,6,0,0,13,0,0,0,0,0,107,78,14,16,217
801071082,16,17,3,0,38,30,13,6,0,50,93,33,8,4,138,62,43,8,0,114,74,35,6,3,119,23,19,7,0,44,31,29,3,7,71,28,16,6,0,43,21,30,6,0,63,8,0,0,0,8,419,255,61,23,761
801071083,0,0,0,0,0,3,0,0,0,3,6,0,0,0,9,0,6,0,0,9,3,4,0,0,12,4,0,0,0,4,0,0,0,0,4,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,23,14,5,4,47
801071084,6,0,4,0,11,9,0,0,0,12,23,9,6,4,40,23,21,0,0,39,26,10,5,0,42,13,8,0,0,25,20,5,0,0,20,5,7,0,0,13,4,6,3,0,22,0,0,0,0,0,145,73,24,6,248
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,0,0,0,0,3,0,0,0,0,4,9,3,5,0,19,0,0,0,4,5,9,8,0,0,11,3,0,0,0,3,4,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,39,23,11,5,79
801071087,0,3,0,0,11,10,6,0,0,18,13,9,0,4,32,12,12,0,0,27,15,7,0,0,28,9,5,0,0,10,10,7,0,0,15,0,4,0,0,4,4,4,0,0,20,0,0,0,0,0,95,62,20,7,186
801071088,5,0,0,0,4,3,4,0,0,7,18,17,5,0,37,12,8,4,0,25,12,8,7,0,29,13,3,0,0,21,10,5,0,0,10,6,6,0,3,16,3,4,6,0,12,0,0,0,0,0,89,54,25,10,179
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071090,8,9,0,4,17,15,8,0,0,27,28,7,4,0,43,36,12,6,3,50,25,19,3,0,51,20,5,5,0,32,10,0,6,3,25,9,6,0,0,21,5,14,0,3,21,3,0,0,0,3,191,97,29,19,338
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801081091,0,0,0,0,0,5,0,0,0,5,10,3,0,0,9,7,0,0,0,11,12,16,3,0,26,3,0,3,0,8,6,5,5,0,13,4,11,0,0,14,3,5,6,0,10,0,0,0,0,0,42,31,15,0,97
801081092,0,4,0,0,3,5,0,0,0,5,16,4,5,0,21,14,6,0,0,21,13,7,0,0,23,6,0,3,0,10,3,4,0,0,10,0,8,0,0,10,4,3,0,0,13,0,0,0,0,0,78,48,17,0,142
801081093,7,0,3,0,8,7,0,4,0,7,14,0,0,0,18,7,4,5,0,17,8,11,3,0,16,3,0,0,0,5,10,9,0,0,14,0,3,0,0,6,6,4,3,0,10,0,0,0,0,0,63,35,18,5,124
801081094,0,0,5,0,6,9,0,0,0,7,5,0,0,0,9,21,6,0,0,26,14,4,0,0,21,3,4,0,0,7,10,3,0,0,10,3,3,3,0,10,3,0,0,3,12,0,0,0,0,3,78,32,13,3,121
801081095,3,0,3,0,6,4,3,0,0,5,26,4,0,0,29,13,10,0,0,24,9,8,0,0,16,12,5,0,0,16,3,7,3,0,18,0,0,0,0,3,6,7,0,0,14,0,0,0,0,0,89,47,22,0,163
