sal_code,sal_name,state,latitude,longitude,area_km2,abs_area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50038,Augusta,WA,-34.30734879736078,115.13482069285149,29.944484816255,29.9444,"[{'sa2_code': '501011001', 'sa2_name': 'Augusta', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50039,Australind,WA,-33.28296837051391,115.72289972223338,23.062307789984764,23.0619,"[{'sa2_code': '501021005', 'sa2_name': 'Australind - Leschenault', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50040,Aveley,WA,-31.781313881819226,115.98922874312618,6.101821440734455,6.1015,"[{'sa2_code': '504031298', 'sa2_name': 'Aveley', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50041,Avon Valley National Park,WA,-31.636067043687877,116.18873399924057,74.96055556727607,74.9605,"[{'sa2_code': '504031055', 'sa2_name': 'Avon Valley National Park', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50042,Baandee,WA,-31.526410154950117,117.97418395453494,146.07890997585488,146.0789,"[{'sa2_code': '509021237', 'sa2_name': 'Cunderdin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50043,Babakin,WA,-32.14299576301854,118.04195074578739,380.8238835753877,380.8239,"[{'sa2_code': '509021240', 'sa2_name': 'Merredin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50044,Babbage Island,WA,-24.881426059022658,113.63796301887398,3.961213192373813,3.9612,"[{'sa2_code': '511021276', 'sa2_name': 'Carnarvon', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Coastal,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50045,Badgebup,WA,-33.60878954351343,117.8839522517322,207.5855785420575,207.5856,"[{'sa2_code': '509011230', 'sa2_name': 'Katanning', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50046,Badgerin Rock,WA,-30.77592592867132,117.31333281504929,243.0213132207078,243.0212,"[{'sa2_code': '509021238', 'sa2_name': 'Dowerin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50047,Badgin,WA,-31.80650370564194,116.99876515177485,84.84411188577913,84.8441,"[{'sa2_code': '509021245', 'sa2_name': 'York - Beverley', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50048,Badgingarra,WA,-30.425028510812957,115.59521067777139,1128.83241845869,1128.8324,"[{'sa2_code': '509021239', 'sa2_name': 'Gingin - Dandaragan', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Agriculture'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50049,Badjaling,WA,-32.000981817930146,117.50083774101886,84.17488731606917,84.1749,"[{'sa2_code': '509021237', 'sa2_name': 'Cunderdin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50050,Bailup,WA,-31.739061589036254,116.31012090392944,47.03254298064426,47.0325,"[{'sa2_code': '504021049', 'sa2_name': 'Chidlow', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50051,Bakers Hill,WA,-31.731896860178,116.447803750388,82.77920330042775,82.7791,"[{'sa2_code': '509021243', 'sa2_name': 'Northam', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50052,Balbarrup,WA,-34.203165591243994,116.23230127172205,55.62731005440589,55.6274,"[{'sa2_code': '501031019', 'sa2_name': 'Manjimup', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50053,Balcatta,WA,-31.871636052371837,115.81942058065648,7.054453085132289,7.0539,"[{'sa2_code': '505021084', 'sa2_name': 'Balcatta - Hamersley', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50054,Baldivis,WA,-32.32900033576546,115.83060966014541,87.31532071530057,87.3153,"[{'sa2_code': '507051187', 'sa2_name': 'Port Kennedy', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50055,Balga,WA,-31.854945051841142,115.8398274711676,5.254642496864868,5.2549,"[{'sa2_code': '505021085', 'sa2_name': 'Balga - Mirrabooka', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50056,Balingup,WA,-33.77771431326528,116.00697708746361,88.5605603149898,88.5608,"[{'sa2_code': '501031018', 'sa2_name': 'Donnybrook - Balingup', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50057,Balkuling,WA,-31.949707996012048,117.16018161964047,82.26409086887332,82.2641,"[{'sa2_code': '509021237', 'sa2_name': 'Cunderdin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50058,Balla Balla,WA,-20.697482430713045,117.76669803847079,138.71151531230183,138.7115,"[{'sa2_code': '510031273', 'sa2_name': 'Roebourne', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Regional Town,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
