sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50051,Bakers Hill,WA,-31.73188890024637,116.44781630071074,7.877761644298855e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50052,Balbarrup,WA,-34.20314835560361,116.23230960671096,5.441193334116811e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50053,Balcatta,WA,-31.871623346426336,115.81943232683815,6.723391119191229e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50054,Baldivis,WA,-32.32899565372101,115.8306129402891,8.362731663506789e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50055,Balga,WA,-31.85493169489609,115.83983858668472,5.007155477549675e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50056,Balingup,WA,-33.77769940922356,116.00697509341596,8.620045419893088e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50057,Balkuling,WA,-31.94969462974014,117.16018700024674,7.846877473444872e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50058,Balla Balla,WA,-20.69746322066787,117.7667090507877,1.2026498578370562e-08,[],,0.0,Regional Town,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50059,Balladong,WA,-31.92948149834128,116.74455693639936,4.825521216606193e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50060,Balladonia,WA,-32.2520575356609,124.18839199265832,1.4613438092983793e-06,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50061,Ballajura,WA,-31.839988260074215,115.89586416964802,8.43828966414814e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50062,Ballaying,WA,-33.3207775536334,117.59430085244689,1.6147855751346167e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50063,Ballidu,WA,-30.6031044972543,116.76727851743009,8.003114325887937e-10,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50064,Bally Bally,WA,-32.2077874408108,117.14098508169268,1.7449797705874515e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50065,Bambun,WA,-31.427191920585766,115.88668877088209,5.786779420186375e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50066,Bandy Creek,WA,-33.8156961995247,121.97330346590172,3.397603480975023e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50067,Bandya,WA,-27.877327939951122,122.1586847839862,6.470802306547676e-07,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50068,Banjup,WA,-32.157543401944274,115.88288067251065,1.360468960387768e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50069,Banksia Grove,WA,-31.696246274477502,115.8054070152508,4.48795519171964e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50070,Banksiadale,WA,-32.6292197451392,116.1368926331183,2.2646676763193322e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50071,Bannister (WA),WA,-32.67954366655967,116.44600178760629,4.050170583994118e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50072,Barbalin,WA,-30.89934320398717,118.11573142996434,1.5599160201176818e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50073,Barberton,WA,-30.73275171605234,116.01211587090425,1.0524665484930762e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50074,Barrabup,WA,-33.901355274121215,115.66566993225685,1.9655400916686357e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50075,Barragup,WA,-32.53793530390168,115.7924403681237,1.4993042706036956e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50076,Barrow Island,WA,-20.761071495180907,115.41018665503192,2.2868962730725628e-08,[],,0.0,Tourist,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50077,Baskerville,WA,-31.797741763519305,116.0435669550337,6.33397267922426e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50078,Bassendean (WA),WA,-31.90644038392055,115.94536144899101,6.990819520431063e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50079,Bateman,WA,-32.05545998962703,115.84737769589242,1.8681750649365475e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50080,Baudin,WA,-33.86476887575455,115.44991295358977,3.334923118246779e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50081,Baynton (WA),WA,-20.751644862922834,116.80137075705667,2.319102973704727e-10,[],,0.0,Tourist,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50082,Bayonet Head,WA,-34.973033323918656,117.93446594192196,5.172680447853728e-10,[],,0.0,Remote,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50083,Bayswater (WA),WA,-31.91737903529082,115.91781332163026,9.385303658522518e-10,[],,0.0,Urban,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50084,Beachlands,WA,-28.786102889493666,114.6018421465995,1.3089529789664285e-10,[],,0.0,Remote,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50085,Beacon,WA,-30.430154385654422,117.8661584868049,6.591095852826236e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
